z,x1,y1,x2,y2,id,name,RoomType
0,-Inf,-Inf,Inf,Inf,-1,OutsideRooms,1
63,56,280,60,290,0,bridge,0
63,51,290,64.5,300,1,entryBridge,0
63,61,300,67,318,2,entryCorridor,0
63,57,300,61,304.5,3,pumkinStorage,0
63,56,304.5,61,311.5,4,wheatStorage,0
63,58,311.5,61,318,5,stairsToStage,0
63,67,302,72,308,6,goldStorage,0
63,64.5,295,71,300,7,armory,0
63,67,316,75,318,8,wayToStage,0
63,75,304,94.5,324,9,stage,0
63,94.5,296,104,325,10,ship,0
65,94.5,296,104,303,11,captainsCabinInner,0
69,94.5,296,104,303,12,captainsCabinTop,0
64.5,66,314,75,319,13,stairsStageToHall,2
67,55,294,66,319,14,hall,0
65,66,298,76,315,15,centerStairsHallToBlue,2
70,55,294,61,300,16,hallBalkony,0
71,70,293,78,298,17,centerStairsToBlue,2
71,76,298,86,315,18,centerStairsBlueToPetrol,2
75,86,299,95,314,19,blueBigBalkony,0
75,68,302,86,312,20,blueBridge,0
75,49,284,73,289,21,blueSideBalkony,0
75,63,289,76,296,22,blueInner,0
75,55,296,68,309,22,blueInner,0
75,65.5,314,69,319.5,23,bluePrison,0
75,60,314,65.5,320,24,blueBedroomI,0
75,53,309,60,313.5,25,blueBedroomII,0
75,54,313.5,60,319,26,blueBathroom,0
75,60,309,69,314,27,blueLivingRoom,0
75,41,294,50,321,28,blueSideBalkonyBig,0
75,53,289,63,292,21,blueSideBalkony,0
75,50,302,55,309,22,blueInner,0
75,50,300,55,302,21,blueSideBalkony,0
75,50,292,55,300,21,blueSideBalkony,0
75,55,292,57,295,21,blueSideBalkony,0
75,57,292,63,296,22,blueInner,0
75,50,309,53,324,29,blueToPetrolSideBalkony,2
75,53,313.5,54,324,29,blueToPetrolSideBalkony,2
75,54,319,60,324,29,blueToPetrolSideBalkony,2
75,68,296,70,302,22,blueInner,0
75,70,296,73,300,22,blueInner,0
75.5,60,302,64,304,30,blueToPetrolStairsI,2
75.5,63,292,68,294,31,blueToPetrolStairsII,2
75,53,324,61,329,29,blueToPetrolSideBalkony,2
79,76,297,79,316,32,petrolBridge,0
79,67,292,79,297,33,petrolInner,0
79,67,297,70,303,33,petrolInner,0
79,58,292,67,310,33,petrolInner,0
79,59,310,69,313,33,petrolInner,0
79,63,313,76,324,33,petrolInner,0
79,76,316,79,320,33,petrolInner,0
79,53,310,59,314,34,petrolPlants,0
79,54,314,58,318,34,petrolPlants,0
79,58,313,63,320,34,petrolPlants,0
79,61,324,70,330,35,petrolSkullBalkony,0
79.5,68,308,70,313,36,centerPetrolToGreen,2
79.5,70,308,76,316,36,centerPetrolToGreen,2
83,67,304,86,309,37,greenBridge,0
83,86,298,96,315,38,greenBalkonyBig,0
83,58,292,67,309,39,greenInner,0
83,52,305,58,312,39,greenInner,0
83,58,309,59,312,39,greenInner,0
83,49,288,58,296,40,greenBalkonySide,0
83,52,296,58,305,41,greenBathroom,0
83,67,292,71,303,39,greenInner,0
83,59,309,65,314,42,greenLivingroom,0
83,53,312,59,314,42,greenLivingroom,0
83,53,314,59.5,319,43,greenBeedroomI,0
83,59.5,314,65,321,44,greenBeedroomII,0
83,65,310,71,321,45,greenBeedroomIII,0
83.5,53,304,55,308,46,greenToYellowStairs,2
83.5,68,296,87,305,47,centerStairsGreenToYellow,2
87,55,308,73,321,48,yellowInner,0
87,73,316,79,321,49,yellowStorage,0
87,76,297,79,316,50,yellowBridge,0
87,59,292,79,297,51,yellowInnerBalkonySide,0
87,53,292,59,308,52,yellowInnerBalkony,0
87,48,321,61,327,53,yellowBalkony,0
87,48,312,55,321,53,yellowBalkony,0
87.5,60,319,65,321,54,yellowToRedStairsI,2
87.5,53,308,55,312,55,yellowToRedStairsII,2
88,44,303,53,319,56,redToRoofI,2
91,53,293,67,310,57,redInner,0
91,67,305,87,308,58,redBridge,0
91,87,299,97,314,59,redBalkonyBigDragon,0
91,67,294,70,303,57,redInner,0
91,63,310,73,321,60,redBeedroom,0
92,78,309,88,316,61,redToRoofII,2
95,50,288,84,324,62,RoofTop,0
